Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Authority,Hub
9300,32145,,1,Stiff: The Curious Lives of Human Cadavers,None,1226,80.080086,0,0.392329,294610,0,0.629992,0.00017,0.03466,0.03466
9307,22288,,1,Haunted,None,691,45.14046,2,0.526492,125513,0,0.402951,0.000101,0.022192,0.022192
9309,75406,,1,The Breaks of the Game,None,160,20.5,3,0.85283,10848,0,0.117807,0.000043,0.00648,0.00648
9310,22034,,1,The Godfather,None,1569,126.26258,4,0.326679,401847,0,0.744728,0.00024,0.040927,0.040927
9317,634407,,1,"Knots and Crosses (Inspector Rebus, #1)",None,212,16.020979,0,0.671376,15016,0,0.142127,0.000051,0.007817,0.007817
9319,6690,,1,Danny the Champion of the World,None,439,30.465051,0,0.613058,58940,0,0.281533,0.000084,0.015511,0.015511
9321,1898,,1,Into Thin Air: A Personal Account of the Mount Everest Disaster,None,1622,142.91013,3,0.319172,419593,0,0.760504,0.000262,0.041767,0.041767
9331,122,,1,"The Power of One (The Power of One, #1)",None,655,36.098953,0,0.54374,116461,0,0.394044,0.000089,0.021713,0.021713
9335,78970,,1,A Matter of Honor,None,293,25.443997,4,0.591449,25301,0,0.175127,0.000063,0.009611,0.009611
9338,16342,,1,"Cat Among the Pigeons (Hercule Poirot, #34)",None,276,39.697111,4,0.72448,27494,0,0.18261,0.000069,0.010042,0.010042
9340,7170627,,1,The Emperor of All Maladies: A Biography of Cancer,None,766,44.287293,3,0.423304,124026,0,0.40081,0.000086,0.021987,0.021987
9342,13503109,,1,This Is How You Lose Her,None,822,52.904479,0,0.478276,161385,0,0.45759,0.0001,0.025182,0.025182
9346,395182,,1,Lucky Jim,None,430,50.330303,2,0.642587,59269,0,0.278354,0.000063,0.015353,0.015353
9364,595375,,1,Annie on My Mind,None,297,21.268713,1,0.739148,32490,0,0.212307,0.000053,0.011707,0.011707
9372,10238,,1,The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,None,579,48.75698,3,0.53479,89487,0,0.339316,0.000078,0.01865,0.01865
9373,16081961,,1,&#1575;&#1604;&#1571;&#1587;&#1608;&#1583; &#1610;&#1604;&#1610;&#1602; &#1576;&#1603;,None,143,16.926965,4,0.529302,5374,0,0.063679,0.000046,0.003446,0.003446
9379,12321,,1,Beyond Good and Evil,None,663,44.220426,2,0.526172,115470,0,0.389029,0.000068,0.021412,0.021412
9382,771332,,1,With the Old Breed: At Peleliu and Okinawa,None,381,31.462589,3,0.599074,43367,0,0.234218,0.00006,0.012872,0.012872
9385,171201,,1,Wit,None,435,42.405395,0,0.630182,59486,0,0.277949,0.000074,0.015323,0.015323
9386,92160,,1,London,None,414,39.561006,1,0.610614,52202,0,0.258706,0.000089,0.014255,0.014255
9391,74389,,1,"The Plains of Passage (Earth's Children, #4)",None,370,30.237769,1,0.7297,49813,0,0.262832,0.000093,0.0145,0.0145
9407,298275,,1,Nausea,None,680,49.608285,2,0.525409,121296,0,0.395163,0.00007,0.021774,0.021774
9409,151,,1,Anna Karenina,None,404,48.443939,1,0.663661,54026,0,0.271075,0.000084,0.014946,0.014946
9415,2612,,1,The Tipping Point: How Little Things Can Make a Big Difference,None,1764,191.71931,3,0.283527,440875,0,0.779249,0.000315,0.042689,0.042689
9427,12923,,1,The Castle of Otranto,None,335,33.867383,1,0.666244,37273,0,0.226321,0.00007,0.012471,0.012471
9431,18135,,1,Romeo and Juliet,None,2336,439.184326,1,0.230869,629645,0,0.95729,0.001011,0.052424,0.052424
9438,71728,,1,Jonathan Livingston Seagull,None,1324,93.898881,3,0.362706,317667,0,0.655394,0.000163,0.036022,0.036022
9439,1625,,1,Twelfth Night,None,1083,83.620608,1,0.43606,255489,0,0.584358,0.000146,0.032207,0.032207
9443,298230,,1,Agnes Grey,None,555,50.690869,1,0.631541,97090,0,0.350014,0.000077,0.019336,0.019336
9448,136167,,1,The Other Side of Midnight (Midnight #1),None,454,36.20671,4,0.628653,64645,0,0.28869,0.00007,0.015908,0.015908
9450,8171378,,1,The Warmth of Other Suns: The Epic Story of America's Great Migration,None,682,42.183363,0,0.499968,116103,0,0.387688,0.000089,0.02133,0.02133
9453,6709,,1,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",None,295,23.407419,3,0.576802,25013,0,0.175606,0.00005,0.009634,0.009634
9459,10631,,1,Sam Walton: Made In America,None,191,20.834848,3,0.555084,10072,0,0.090714,0.000042,0.004921,0.004921
9460,18133,,1,Lolita,None,423,36.700221,2,0.587398,52427,0,0.258366,0.000072,0.014226,0.014226
9463,667,,1,Anthem,None,957,55.923818,2,0.434591,198802,0,0.514449,0.000113,0.02829,0.02829
9466,10357575,,1,1Q84,None,1148,83.627423,0,0.395045,260089,0,0.588198,0.000146,0.032339,0.032339
9470,63697,,1,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,None,1165,75.447889,3,0.387248,262566,0,0.593046,0.000128,0.032589,0.032589
9475,6326920,,1,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",None,150,16.845455,3,0.720984,8057,0,0.106832,0.00005,0.005862,0.005862
9483,90192,,1,The House of the Seven Gables,None,547,57.215152,1,0.612277,91432,0,0.34012,0.000087,0.018774,0.018774
9484,2579284,,1,Six Days of the Condor,None,323,36.884848,1,0.696325,36211,0,0.205665,0.000072,0.011328,0.011328
9491,48019,,1,The Effective Executive: The Definitive Guide to Getting the Right Things Done,None,262,21.651437,3,0.494077,16893,0,0.124828,0.000042,0.00679,0.00679
9496,243705,,1,The Collector,None,569,44.869368,2,0.604774,97729,0,0.358022,0.000083,0.019749,0.019749
9499,11991,,1,The Fall,None,867,64.166973,2,0.48916,183636,0,0.492137,0.000091,0.027122,0.027122
9502,10677213,,1,Van Gogh: The Life,None,158,16.9,5,0.644441,7993,0,0.104025,0.00004,0.005711,0.005711
9503,38990,,1,Fun Home: A Family Tragicomic,None,561,36.449187,0,0.533798,83849,0,0.326802,0.000076,0.018005,0.018005
9504,1525808,,1,Don Quijote de la Mancha I,None,173,22.088345,1,0.818658,12180,0,0.137398,0.000053,0.007563,0.007563
9505,22283,,1,Survivor,None,611,47.465108,2,0.55969,104301,0,0.367327,0.000085,0.020244,0.020244
9507,24965,,1,Fear and Trembling,None,303,38.1,2,0.660044,30199,0,0.19574,0.000059,0.010785,0.010785
9518,6440,,1,Ivanhoe,None,827,69.176582,1,0.521682,178181,0,0.477983,0.000106,0.026372,0.026372
9519,125662,,1,"Say Cheese and Die! (Goosebumps, #4)",None,182,19.822727,1,0.76492,12599,0,0.133897,0.000056,0.007375,0.007375
9523,298137,,1,Mao's Last Dancer,None,175,18.156177,0,0.69977,10654,0,0.120696,0.000056,0.006631,0.006631
9525,16307,,1,"Hallowe'en Party (Hercule Poirot, #39)",None,223,37.124242,4,0.809882,20047,0,0.155121,0.000068,0.008537,0.008537
9527,108229,,1,The Perfect Storm: A True Story of Men Against the Sea,None,784,55.69401,3,0.497338,152651,0,0.444713,0.000099,0.024495,0.024495
9530,10505,,1,History of Beauty,None,309,18.792402,5,0.552747,26303,0,0.18013,0.00004,0.009883,0.009883
9535,17204679,,1,Man's Search for Meaning,None,170,10.886328,3,0.591159,8492,0,0.101974,0.000037,0.005596,0.005596
9540,252577,,1,"Angela's Ashes (Frank McCourt, #1)",None,1725,176.36382,0,0.310347,461470,0,0.801612,0.000347,0.044043,0.044043
9541,18813642,,1,Bad Feminist,None,686,44.477774,0,0.525752,123528,0,0.403528,0.000111,0.022223,0.022223
9553,9864913,,1,Jaya: An Illustrated Retelling of the Mahabharata,None,152,21.5,3,0.699547,8028,0,0.090045,0.000038,0.004914,0.004914
9556,95833,,1,M. Butterfly,None,273,38.845455,1,0.747549,27755,0,0.196698,0.000077,0.01085,0.01085
9558,568236,,1,A Distant Mirror:  The Calamitous 14th Century,None,460,34.404246,3,0.609671,64363,0,0.291343,0.000061,0.016046,0.016046
9561,51299,,1,Letter to a Christian Nation,None,517,39.195964,3,0.514357,68608,0,0.288979,0.000065,0.01585,0.01585
9568,261240,,1,The Cask of Amontillado,None,668,48.766434,1,0.584169,130140,0,0.412983,0.000086,0.02279,0.02279
9576,17800,,1,Dance Dance Dance,None,625,45.630856,0,0.532528,103843,0,0.365251,0.000075,0.020104,0.020104
9578,6289283,,1,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",None,990,55.84238,3,0.411807,201602,0,0.515429,0.000109,0.028301,0.028301
