Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
6693,33294200,,1,The Poet X,None,447,34.725828,3,0.540725,53900,0,0.214976,0.000086
6694,33118312,,1,Refugee,None,405,27.852139,1,0.541266,44281,0,0.193392,0.000083
6696,43307358,,1,"Heartstopper: Volume Two (Heartstopper, #2)",None,337,42.2,3,0.571464,32354,0,0.167196,0.000067
6701,15778848,,1,"&#26263;&#27578;&#25945;&#23460; 1 [Ansatsu Kyoushitsu 1] (Assassination Classroom, #1)",None,52,6.157576,4,0.618401,820,0,0.020096,0.000023
6702,33643994,,1,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",None,606,56.162288,3,0.578998,106139,0,0.311721,0.000078
6707,18846563,,1,"Crown of Midnight (Throne of Glass, #2)",None,283,28.873477,3,0.655414,26153,0,0.157811,0.000063
6708,11857408,,1,"Fifty Shades Darker (Fifty Shades, #2)",None,2078,292.578896,5,0.275672,594901,0,0.781967,0.000462
6710,36510722,,1,Gods of Jade and Shadow,None,424,42.525291,3,0.543769,48763,0,0.210794,0.000085
6711,2798094,,1,"Swallowing Darkness (Merry Gentry, #7)",None,544,65.428534,2,0.542371,80106,0,0.255158,0.000095
6713,6337006,,1,"Pleasure of a Dark Prince (Immortals After Dark, #8)",None,516,64.570394,2,0.580342,77110,0,0.237144,0.000072
6714,24375937,,1,"Bound by Duty (Born in Blood Mafia Chronicles, #2)",None,280,30.986364,5,0.555146,21684,0,0.11014,0.000045
6715,40874032,,1,"Vicious (Villains, #1)",None,630,49.284711,3,0.549121,108800,0,0.315813,0.000106
6724,16052012,,1,Flora &#38; Ulysses: The Illuminated Adventures,None,273,25.019439,1,0.6055,22481,0,0.129985,0.000065
6727,37451,,1,"You Know You Love Me (Gossip Girl, #2)",None,335,38.29617,0,0.706748,39539,0,0.198527,0.00006
6731,12959086,,1,The Demigod Diaries,None,597,57.35186,1,0.515688,91744,0,0.284506,0.00007
6739,7785207,,1,"The Mating  (Law of the Lycans, #1)",None,239,26.709091,2,0.731479,20804,0,0.117428,0.000048
6742,12478533,,1,Bittersweet,None,338,41.990909,3,0.698313,39771,0,0.192761,0.00006
6743,12936,,1,"Gathering Blue (The Giver, #2)",None,1229,87.211096,1,0.386964,292005,0,0.535885,0.000162
6744,22294935,,1,"Six of Crows (Six of Crows, #1)",None,226,21.125991,3,0.736283,18720,0,0.130399,0.000065
6745,6596547,,1,Mockingbird,None,357,32.669368,1,0.614059,39021,0,0.170694,0.000064
6747,8341567,,1,"The Perfect Play (Play by Play, #1)",None,588,58.029235,5,0.500666,86404,0,0.251362,0.000068
6749,84158,,1,Midnight Pleasures (Wild Wulfs of London #0.5; Dream-Hunter #0.5),None,269,42.6,2,0.667064,24045,0,0.110015,0.000053
6753,5135798,,1,"Being Nikki (Airhead, #2)",None,534,54.795328,0,0.573497,81615,0,0.274791,0.00007
6759,25255576,,1,Asking For It,None,205,26.3,3,0.717599,15005,0,0.120046,0.000059
6763,17383994,,1,"Divergent Series Complete Box Set (Divergent, #1-3)",None,389,35.30655,1,0.64156,48416,0,0.224148,0.000053
6765,77523,,1,Harry Potter and the Sorcerer's Stone,None,325,25.137512,1,0.620209,32654,0,0.179182,0.000069
6773,13541056,,1,"Queen of Air and Darkness (The Dark Artifices, #3)",None,898,78.136853,3,0.468188,188564,0,0.426289,0.000095
6776,131123,,1,"The Austere Academy (A Series of Unfortunate Events, #5)",None,1038,81.139148,1,0.406988,219042,0,0.446566,0.000131
6778,774060,,1,Prisoner of My Desire,None,347,41.801515,0,0.544435,32683,0,0.13584,0.000058
6779,17701166,,1,"The House of Hades (Heroes of Olympus, #4)",None,173,20.50079,1,0.622866,9267,0,0.088725,0.000048
6782,23225,,1,"Haunted (The Mediator, #5)",None,703,69.484498,0,0.523876,129268,0,0.346841,0.000088
