,0
"Romans, nouvelles, etc. pour la jeunesse",10.0
War stories,10.0
Toys,10.0
Satire,10.0
Space warfare,10.0
Identity (Psychology),10.0
Translations into German,10.0
Family problems,10.0
Stephanie Plum,9.0
Science,9.0
Fugitives from justice,9.0
"Kings, queens, rulers",9.0
Popular Print Disabled Books,9.0
"Children's plays, English",9.0
Histoire,9.0
mystery,9.0
Los Angeles,9.0
Translations into French,9.0
Correspondence,9.0
World War (1939-1945) fast (OCoLC)fst01180924,9.0
Indians of North America,9.0
Rich people,9.0
New Orleans,9.0
New Orleans (La.),9.0
Dreams,9.0
Derry,9.0
Storytelling,9.0
Ghost stories,9.0
New Hampshire,9.0
American Short stories,9.0
Short Stories,9.0
Totalitarianism,9.0
Fantastic fiction,9.0
In library,9.0
Courage,9.0
Mental health,9.0
Adultery,9.0
Women authors,9.0
Bibliography,9.0
psychological fiction,9.0
Sources,9.0
Prisoners,9.0
People with disabilities,9.0
Fate and fatalism,9.0
Runaway children,9.0
Personal Beauty,9.0
Scientists,9.0
Harry Dresden (Fictitious character),9.0
Personal narratives,9.0
Texts,9.0
Actors,9.0
Soldiers,9.0
Mary,9.0
friendship,9.0
Self-Improvement,9.0
African American families,9.0
Frontier and pioneer life,9.0
John H. Watson,9.0
YOUNG ADULT FICTION,9.0
Spiritual life,9.0
Poland,9.0
Juvenile audience,8.0
Jesus Christ,8.0
Government investigators,8.0
Rand al'Thor (Fictitious character),8.0
Inglaterra,8.0
San Francisco (Calif.),8.0
suicide,8.0
Literary Criticism,8.0
Ghosts,8.0
magic,8.0
Christmas,8.0
Country homes,8.0
Christianity,8.0
Husband and wife,8.0
Stories in rhyme,8.0
Immigrants,8.0
John Lennon,8.0
Guilt,8.0
Examinations,8.0
Interracial marriage,8.0
Wolves,8.0
Ability,8.0
Jesus,8.0
Juvenile works,8.0
Rejection (Psychology),8.0
Spanish language,8.0
French fiction,8.0
Emotional problems,8.0
Courts and courtiers,8.0
Conspiracies,8.0
English Young adult drama,8.0
Los Angeles (Calif.),8.0
Novela psicológica,8.0
Blind,8.0
Ship captains,8.0
Physicians,8.0
Secret societies,8.0
Cousins,8.0
Women private investigators,8.0
history,8.0
Courtship,8.0
Man-woman relationship,8.0
Humorous Stories,8.0
Stage history,8.0
Witchcraft,8.0
Zombies,8.0
Space and time,8.0
American literature,8.0
Adolescence,8.0
American poetry,8.0
Study guides,8.0
Schools in fiction,8.0
Muerte,8.0
American Novelists,8.0
Pennsylvania,8.0
great_books_of_the_western_world,8.0
Private investigators in fiction,7.0
Brainwashing,7.0
Management,7.0
Dublin,7.0
alcoholism,7.0
Trials (Murder),7.0
Manhattan,7.0
Family Life,7.0
Legends,7.0
Lee Harvey Oswald,7.0
Conflict of generations,7.0
FICTION / Contemporary Women,7.0
Leadership,7.0
JUVENILE FICTION / Love & Romance,7.0
FICTION / General,7.0
Alice,7.0
Homes and haunts,7.0
Vampires in fiction,7.0
Pictorial works,7.0
Shirley Jackson,7.0
suspense fiction,7.0
Washington (D.C.),7.0
Bail bond agents,7.0
Divorce,7.0
"Science fiction comic books, strips",7.0
Crime,7.0
Grandparent and child,7.0
Women journalists,7.0
South Carolina,7.0
Shipwrecks,7.0
Imagination,7.0
Identity (Philosophical concept),7.0
South Africa,7.0
Neighbors,7.0
Fiction in Spanish,7.0
Mujeres,7.0
Miscellanea,7.0
murder,7.0
Netherlands,7.0
Magia,7.0
Nevada,7.0
Amistad,7.0
African American,7.0
Women household employees,7.0
literature,7.0
Single women,7.0
Knights and knighthood,7.0
Happiness,7.0
États-Unis,7.0
Social aspects,7.0
Richard Nixon,7.0
National Book Award Winner,7.0
Minnesota,7.0
Middle schools,7.0
Fiction / General,7.0
adventure,7.0
satire,7.0
Edgar Allan Poe,7.0
Afro-Americans,7.0
adventure fiction,7.0
Poor,7.0
Escuelas,7.0
romance,7.0
Translations into Spanish,7.0
Ohio,7.0
Juvenile Literature,7.0
British,7.0
Nebraska,7.0
Veterans,7.0
Magic in fiction,7.0
Marilyn Monroe,7.0
Roland Deschain,7.0
Tortall,7.0
Prejudices,7.0
Fiction - General,7.0
Virginia,7.0
Suicide victims,7.0
Behavior,7.0
Elvis Presley,7.0
In literature,7.0
Novelists,7.0
Upper class,7.0
Tennessee,7.0
Technique,7.0
Oregon,7.0
Bilingual,6.0
H.G. Wells,6.0
Man-woman relationships in fiction,6.0
Novela de misterio,6.0
Shakespeare,6.0
juvenile works,6.0
Sea stories,6.0
Diseases,6.0
Friends and associates,6.0
Amnesia,6.0
Plague,6.0
William Shakespeare,6.0
Marvin Gaye,6.0
Horses,6.0
Occultism,6.0
Travelers,6.0
Fiction - Fantasy,6.0
Wizards in fiction,6.0
Utopias,6.0
homosexuality,6.0
crime,6.0
Dictionaries,6.0
Self-esteem,6.0
"Horror comic books, strips",6.0
Traducciones al español,6.0
College teachers,6.0
"Holocaust, Jewish (1939-1945)",6.0
Norway,6.0
Criminals,6.0
Revolutionaries,6.0
Teachers,6.0
Samuel Vimes (Fictitious character),6.0
Comedians,6.0
Treasure troves,6.0
Sweden,6.0
Hansel,6.0
Hannibal Lecter,6.0
"Fantasy comic books, strips",6.0
Bible,6.0
"Children's poetry, American",6.0
Maryland,6.0
Betrayal,6.0
Girls & Women,6.0
Jason,6.0
Stephen King,6.0
Pirates,6.0
Children's literature,6.0
Pregnant women,6.0
award:national_book_critics_circle_award=fiction,6.0
Novela juvenil,6.0
Britons,6.0
Wives,6.0
nyt:paperback_business_books=2012-02-25,6.0
Brooklyn,6.0
Harvard University,6.0
Older men,6.0
Missouri,6.0
Modern Literature,6.0
Swindlers and swindling,6.0
Missing children,6.0
Weddings,6.0
Prince Edward Island,6.0
thriller,6.0
Frank,6.0
Twenty-first century,6.0
German language,6.0
epic fiction,6.0
Prevention,6.0
Devil,6.0
Cooks,6.0
Victims of crimes,6.0
Journeys,6.0
Popular Works,6.0
Intelligence service,6.0
Mythology,6.0
People & Places,6.0
Portraits,6.0
Roland (Fictitious character : King),6.0
Mental illness,6.0
Assassination,6.0
Middle Earth (Imaginary place),6.0
Picture books,6.0
political fiction,6.0
Estados Unidos,6.0
Prophecies,6.0
Immortality,6.0
Appreciation,6.0
"World War, 1914-1918",6.0
World War II,6.0
Single mothers,6.0
Sailors,6.0
Fred Astaire,6.0
dystopia,6.0
Psychopaths,6.0
Imaginary Voyages,6.0
Uncles,6.0
Illustrations,6.0
"Vietnam War, 1961-1975",6.0
Alchemists,6.0
Refugees,6.0
Rabbits,6.0
Alcoholics,6.0
Siblings,6.0
John Wayne,6.0
Picture books for children,6.0
fantasy fiction,6.0
short stories,6.0
Private schools,6.0
FICTION / Family Life,6.0
Pigs,6.0
Blessing and cursing,6.0
Sociology,6.0
Painters,6.0
Allegories,6.0
Thrillers,6.0
Textbooks for foreign speakers,6.0
National Book Critics Circle Award Winner,6.0
Contemporary,6.0
Civilization,6.0
orphans,6.0
Trenton,6.0
Mike,6.0
Adapted for Television,5.0
Characters and characteristics in literature,5.0
love,5.0
Curley,5.0
Translations into Italian,5.0
Cyborgs,5.0
Suburban life,5.0
rape,5.0
Cartoonists,5.0
war,5.0
Afghanistan,5.0
Cuentos humorísticos,5.0
Boston (Mass.),5.0
Man Booker Prize Winner,5.0
Telepathy,5.0
Jóvenes (Hombres),5.0
Arizona,5.0
Epidemics,5.0
Audiobooks,5.0
Historians,5.0
Pulitzer Prize Winner,5.0
humor,5.0
Castle Rock,5.0
Hell,5.0
Manchester,5.0
Action & Adventure - General,5.0
Grandparents,5.0
"Comic books, strips, etc",5.0
Succession,5.0
Genius,5.0
Spanish language books,5.0
Hari Seldon (Fictitious character),5.0
Joe,5.0
W.C. Fields,5.0
Ethics,5.0
Ronald Reagan,5.0
Children's plays,5.0
Aunts,5.0
Personal Narratives,5.0
Caricatures and cartoons,5.0
Drug abuse,5.0
Becky Bloomwood (Fictitious character),5.0
Tommy,5.0
Television personalities,5.0
Hercule Poirot,5.0
Percy,5.0
Bill Bryson,5.0
Graphic Novels,5.0
Contemporary Women,5.0
United States. Federal Bureau of Investigation,5.0
Fathers,5.0
Roman Mythology,5.0
Virus diseases,5.0
Translations into Polish,5.0
Peter,5.0
Youth,5.0
England -- Fiction,5.0
Translations into Portuguese,5.0
Richard Rahl (Fictitious character),5.0
Religious aspects,5.0
Native Americans,5.0
Iowa,5.0
Psychohistory,5.0
Architects,5.0
Ender Wiggin (Fictitious character),5.0
Teatro,5.0
Greek Gods,5.0
Slavery,5.0
Iran,5.0
Dead,5.0
Fear,5.0
Code and cipher stories,5.0
Personal Memoirs,5.0
Ray Bradbury,5.0
Child,5.0
Slaves,5.0
Intellectual life,5.0
Reincarnation,5.0
slavery,5.0
English Adventure stories,5.0
Intelligence officers,5.0
Michigan,5.0
French language,5.0
Graphic Novels - General,5.0
Cosmology,5.0
Accelerated Reader,5.0
Alaska,5.0
nyt:hardcover_political_books=2012-02-25,5.0
Young women -- Fiction,5.0
Recluses,5.0
Noah,5.0
"Outlines, syllabi",5.0
Humorous,5.0
Heaven,5.0
good and evil,5.0
Community life,5.0
Rome,5.0
Switzerland,5.0
Chinese,5.0
Translations into Czech,5.0
Familie,5.0
Humphrey Bogart,5.0
Mentally ill,5.0
Shopping,5.0
Las Vegas,5.0
Urban Fantasy,5.0
Andy,5.0
Generals,5.0
Christian fiction,5.0
Mythical Animals,5.0
American Adventure stories,5.0
Statesmen,5.0
Food habits,5.0
Lawrence Welk,5.0
Human-alien encounters,5.0
Diary fiction,5.0
Readers (Secondary),5.0
Catholic Church,5.0
West (U.S.),5.0
Elmer Fudd,5.0
Letters,5.0
classics,5.0
Young adult works,5.0
Florence,5.0
Dune (Imaginary place),5.0
Emotions,5.0
H.P. Lovecraft,5.0
Shipwreck survival,5.0
Denmark,5.0
English Short stories,5.0
Buddy Holly,5.0
nyt:series_books=2011-10-29,5.0
Motherless families,5.0
award:national_book_award=fiction,5.0
Classic fiction,5.0
Racism,5.0
Rescues,5.0
Thomas Wolfe,5.0
Autobiography,5.0
Animal welfare,5.0
Christian life,5.0
juvenile literature,5.0
Experiments,5.0
Mathematics,5.0
American Civil War (1861-1865) fast (OCoLC)fst01351658,5.0
Existentialism,5.0
Metamorphosis,5.0
Comics & Graphic Novels / Graphic Novels / General,5.0
Ex-convicts,5.0
English Detective and mystery stories,5.0
German fiction,5.0
BIOGRAPHY & AUTOBIOGRAPHY,5.0
In Library,5.0
Finance,5.0
Portland,5.0
Quartos,5.0
Adventure and adventurers in fiction,5.0
Alanna (Fictitious character : Pierce),5.0
biography,5.0
Gaia (Greek deity),5.0
Norman Rockwell,5.0
Mountain life,5.0
"Manhattan (New York, N.Y.)",5.0
Mice,5.0
Tom Sawyer,5.0
fictional works,5.0
Norfolk,5.0
Terminally ill,5.0
Emigration and immigration,5.0
Bela Lugosi,5.0
Larry,5.0
Reminiscing in old age,5.0
Nonsense verses,5.0
Colorado,5.0
Clint Eastwood,5.0
Origin,5.0
American Humorists,5.0
Grandfathers,5.0
Orphans in fiction,5.0
Sex,5.0
American Detective and mystery stories,5.0
American Humorous stories,5.0
Grandmothers,5.0
Anne Shirley (Fictitious character),5.0
Jack the Ripper,5.0
Change (Psychology),5.0
"Science Fiction, Fantasy, & Magic",4.0
Runaways,4.0
Batman (Fictitious character),4.0
Millionaires,4.0
Rural families,4.0
Arranged marriage,4.0
Zoey Redbird (Fictitious character),4.0
Runaway teenagers,4.0
Harry Potter (Fictitious character),4.0
Military police,4.0
The Mortal Instruments Series,4.0
Religion & Spirituality,4.0
Witnesses,4.0
Northern England,4.0
Frank Dodd,4.0
Translations into Armenian,4.0
Marjane Satrapi (1969-),4.0
Anglais (langue),4.0
Young women in fiction,4.0
Dorothy Sayers,4.0
Policewomen,4.0
Jim,4.0
Nobility,4.0
Politique et gouvernement,4.0
Gods,4.0
Tragedias,4.0
Tragedies,4.0
flashback,4.0
"Muñequitos, tiras cómicas",4.0
Robert Langdon (Fictitious character),4.0
Sagas,4.0
Mœurs et coutumes,4.0
Mississippi River,4.0
Jerusalem,4.0
George,4.0
Mate selection,4.0
University of Maine,4.0
Dr. Seuss,4.0
Hagrid,4.0
Politics,4.0
Research,4.0
Women teachers,4.0
Mediums,4.0
Mr. Spencer,4.0
Portuguese fiction,4.0
Jewish families,4.0
genetic engineering,4.0
Women physicians,4.0
Politicians,4.0
Sam,4.0
Florence (Italy),4.0
Dartmoor,4.0
Medicine,4.0
ghosts,4.0
Medical examiners (Law),4.0
Medical care,4.0
Traffic accident victims,4.0
Gretel,4.0
David Sedaris,4.0
Popular culture,4.0
Television game shows,4.0
hitmen,4.0
Robert Frost,4.0
Mick Jagger,4.0
Dramatic production,4.0
Attitude to Death,4.0
Arctic regions,4.0
University towns,4.0
Schools -- Fiction,4.0
Popular works,4.0
Middle East,4.0
Harry Hole (Fictitious character),4.0
Murder victims' families,4.0
Regression (Civilization),4.0
Youths' writings,4.0
Translations into Arabic,4.0
Cloning,4.0
hitchhiking,4.0
School shootings,4.0
Greece,4.0
Jim Morrison,4.0
family,4.0
Foreign speakers,4.0
death,4.0
crime scenes,4.0
Savannah,4.0
Restaurants,4.0
SOCIAL SCIENCE,4.0
Fred,4.0
Capitalism,4.0
NOVELAS ESTADOUNIDENSES,4.0
Greek mythology,4.0
Greek language materials,4.0
Mitch Rapp (Fictitious character),4.0
Musicians,4.0
essays,4.0
Jack,4.0
Billy,4.0
Novel,4.0
Outlaws,4.0
Houston,4.0
Lesbians,4.0
Cowboys,4.0
German language materials,4.0
Epic Fantasy,4.0
technology,4.0
Human experimentation in medicine,4.0
short story,4.0
Parapsychology,4.0
Parent and adult child,4.0
Parent and child,4.0
Humor (Nonfiction),4.0
Washington D.C.,4.0
Humorous poetry,4.0
South Dakota,4.0
Parents,4.0
Christian biography,4.0
Latin language materials,4.0
Présidents,4.0
Warsaw,4.0
Board books,4.0
Parents of exceptional children,4.0
Alex Cross (Fictitious character),4.0
Supernatural in fiction,4.0
Achievement,4.0
BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs,4.0
Superman,4.0
Asesinos,4.0
nyt:series_books=2011-08-27,4.0
FICTION / Political,4.0
Emotions & Feelings,4.0
Chinese American women,4.0
Homes,4.0
Egypt,4.0
Faith,4.0
Jake Chambers,4.0
Jake,4.0
Chinese language materials,4.0
Biography / Autobiography,4.0
Communication,4.0
Moscow,4.0
Moses,4.0
Islam,4.0
Young men in fiction,4.0
Pacific Ocean,4.0
Susannah Dean,4.0
nyt:series_books=2006-09-16,4.0
Mother and child,4.0
nyt:series_books=2008-03-15,4.0
Presidentes,4.0
FICTION / Suspense,4.0
Social isolation,4.0
nyt:series_books=2010-06-26,4.0
Roland (Fictitious character),4.0
Underground movements,4.0
Hotels,4.0
Wit and humor,4.0
Idaho,4.0
police,4.0
Sunny Baudelaire (Fictitious character),4.0
Psychological aspects of Success,4.0
Paul Sheldon,4.0
Paul Simon,4.0
Bombay,4.0
Turkey,4.0
Businessmen,4.0
Eddie Dean,4.0
Gangs,4.0
Rock musicians,4.0
Essays,4.0
Aircraft accidents,4.0
Movie novels,4.0
telepathy,4.0
Snipers,4.0
Toby,4.0
Gardening,4.0
Psychological Adaptation,4.0
riddles,4.0
Aging,4.0
Interpersonal Relations,4.0
Perry Como,4.0
Engels,4.0
Agatha Christie,4.0
Jack Ryan (Fictitious character),4.0
assassination,4.0
Students,4.0
Percy Jackson (Fictitious character),4.0
Businesspeople,4.0
Christopher Lee,4.0
Illegitimate children,4.0
Domestic animals,4.0
Bob Dylan,4.0
Albus Dumbledore,4.0
Physicists,4.0
LITERARY CRITICISM,4.0
Fyodor Dostoyevsky (1821-1881),4.0
Richard,4.0
Steven Bishoff Dubay,4.0
Suicidal behavior,4.0
Quantum theory,4.0
propaganda,4.0
Ku Klux Klan,4.0
Eccentrics and eccentricities,4.0
Puritans,4.0
Gandalf,4.0
Christmas stories,4.0
Psychiatric hospital patients,4.0
psychics,4.0
cautionary tale,4.0
Sobrenatural,4.0
Indiana,4.0
Aspectos psicológicos,4.0
Paul Bunyan,4.0
Waitresses,4.0
Paul Harvey,4.0
Brazil,4.0
Public prosecutors,4.0
Falmouth,4.0
Homosexuality,4.0
Prophecy,4.0
Revolutions,4.0
Adrian Mellon,4.0
Hera (Greek deity),4.0
Translations into Irish,4.0
Odd Thomas (Fictitious character),4.0
Rape victims,4.0
constables,4.0
JUVENILE FICTION / Action & Adventure,4.0
Children of the rich,4.0
spirits,4.0
Autobiographical fiction,4.0
Hermione Granger,4.0
Congo (Democratic Republic),4.0
Stepfamilies,4.0
Spanish: Adult Fiction,4.0
Bill,4.0
Father-son relationship,4.0
Bill Clinton,4.0
Officers,4.0
Cultural Heritage,4.0
Amusement parks,4.0
Amsterdam,4.0
Comics & Graphic Novels - General,4.0
Love & Romance,4.0
Brigands and robbers,4.0
Amor,4.0
Amnesiacs,4.0
Swine,4.0
Drifters,4.0
Theater,4.0
Johann Sebastian Bach,4.0
Teacher-student relationships,4.0
Novela de terror,4.0
Mr. Gendron,4.0
Wisconsin,4.0
Translations into Chinese,4.0
Margaret,4.0
Vampires -- Fiction,4.0
Multiple personality,4.0
French,4.0
Zukunft,4.0
Winnie-the-Pooh,4.0
English Love stories,4.0
Drawing,4.0
Vampiros,4.0
English Manuscripts,4.0
Novels,4.0
Clergy,4.0
Novels in verse,4.0
Custody of children,4.0
Seattle,4.0
Magos,4.0
Seattle (Wash.),4.0
"Cas, Études de",4.0
Child abuse,4.0
Cancer,4.0
Adoptees,4.0
award:pulitzer_prize=fiction,4.0
French Quarter,4.0
Montana,4.0
High interest-low vocabulary books,4.0
Self-realization in women,4.0
Gary Cooper,4.0
Cryptographers,4.0
Children: Grades 4-6,4.0
High schools in fiction,4.0
Coming of Age,4.0
Judas Iscariot,4.0
Freundschaft,4.0
Hogwarts School of Witchcraft and Wizardry (Imaginary organization),4.0
Hogwarts School of Witchcraft and Wizardry (Imaginary place),4.0
American Manuscripts,4.0
Children: Young Adult (Gr. 7-9),4.0
Organized crime,4.0
Orphanages,4.0
Billionaires,4.0
nyt:hardcover_business_books=2012-02-25,4.0
Critique et interprétation,4.0
Literature: Classics,4.0
Venganza,4.0
Venice,4.0
Venice (Italy),4.0
Peter Pan,4.0
John Dillinger,4.0
English poetry,4.0
Education,4.0
Familia,4.0
Spain,4.0
French literature,4.0
Psychics,4.0
Artificial intelligence,4.0
adventure stories,4.0
Campaigns,4.0
Baltimore,4.0
Robert Redford,4.0
Cujo,4.0
Randall Flagg,4.0
Giants,4.0
William Faulkner,4.0
mystery fiction,4.0
Fantasía,4.0
Translations into Yiddish,4.0
Drug addicts,4.0
Stephanie Plum (Fictional character),4.0
Randy,4.0
novel,4.0
Moon,4.0
Song of the Lioness,4.0
Adventure,4.0
James Dickey,4.0
History of Biblical events,4.0
Translations into Ukrainian,4.0
Dizzy Gillespie,3.0
autopilot,3.0
Cartoons and caricatures,3.0
Garfield,3.0
Tommy Anderson,3.0
authors,3.0
Avarice,3.0
Dost Akbar,3.0
auxotrophy,3.0
Cary Grant,3.0
Doctrines,3.0
Bast,3.0
Divorced people,3.0
Austria,3.0
Doc,3.0
audiobooks,3.0
Report writing,3.0
asphyxiation,3.0
Retrasados mentales,3.0
Baker Street Irregulars,3.0
Augusten Burroughs,3.0
Mrs. Thomas,3.0
Rhetoric,3.0
Donald Duck,3.0
Time Travel,3.0
Castles,3.0
French language materials,3.0
Discworld (Imaginary Place),3.0
Muslims,3.0
Castaways,3.0
Basic reader,3.0
Muchachos,3.0
Tim Murphy,3.0
Bandes dessinées,3.0
Donald Gennaro,3.0
backdoor,3.0
Robbers and outlaws,3.0
Muldoon,3.0
Murder for hire,3.0
Discovery and exploration,3.0
Mr. Trevor,3.0
Baker Street,3.0
Carnivals,3.0
Rhoda,3.0
Friends,3.0
Frankie,3.0
Religious fiction,3.0
Frankie Lymon,3.0
Yvette,3.0
arrow poisons,3.0
Franklin Delano Roosevelt,3.0
Bartholomew,3.0
Games,3.0
Game shows,3.0
Richard Brunton,3.0
Future life,3.0
Gays,3.0
ancient DNA,3.0
ancestors,3.0
amusmement parks,3.0
Fugitive slaves,3.0
Tom Cruise,3.0
Mrs. Smith,3.0
Mystery & Suspense,3.0
Frodo Baggins,3.0
Mystery & Detective,3.0
Change,3.0
Willard Scott,3.0
Young adults,3.0
People with mental disabilities,3.0
Wales,3.0
Economic conditions,3.0
Economics,3.0
Businesswomen,3.0
Paul Newman,3.0
