Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2008,34879754,,1,I Am Watching You,None,0,177,0,3.641771,0.21283,0.62898,9797,0.015878,0.015878,0.000415,3,0.531691,0.560059,70.114729
2011,35423543,,1,Bones Don't Lie (Morgan Dane #3),None,3,105,0,5.740382,0.04622,0.475092,2594,0.003181,0.003181,0.000698,3,0.51763,0.535195,102.168237
2016,16171291,,1,The Silent Wife,None,0,294,0,7.043814,0.356194,0.593741,25573,0.026589,0.026589,0.000706,3,0.555429,0.600023,178.508944
2018,1963638,,1,The Untethered Soul: The Journey Beyond Yourself,None,4,224,0,4.077149,0.260146,0.561419,14022,0.019389,0.019389,0.000476,3,0.540501,0.57584,147.48511
2022,20438825,,1,"Vanished (Callahan &#38; McLane, #1)",None,3,86,0,3.480417,0.047248,0.513817,1878,0.00334,0.00334,0.000463,3,0.514546,0.528951,77.771691
2028,8492768,,1,Left Neglected,None,1,432,0,9.886787,0.466517,0.477421,44446,0.034775,0.034775,0.00097,3,0.585794,0.646912,582.108581
2033,30653967,,1,The Women in the Castle,None,0,194,0,5.85674,0.239559,0.634742,11883,0.017884,0.017884,0.000605,2,0.535376,0.566076,67.071917
2036,5205,,1,A Map of the World,None,1,356,0,9.601901,0.388224,0.50432,31868,0.028883,0.028883,0.00096,3,0.568552,0.621026,418.172832
2039,20829029,,1,The Martian,None,1,140,0,2.84126,0.179214,0.686639,6681,0.013372,0.013372,0.000353,3,0.523911,0.547003,30.601078
2048,15811545,,1,A Tale for the Time Being,None,4,349,0,7.71567,0.38442,0.511692,31073,0.028688,0.028688,0.000789,3,0.567014,0.618642,339.926459
2056,6335026,,1,The Weight of Silence,None,2,180,0,4.029496,0.229325,0.667287,10750,0.017101,0.017101,0.000459,3,0.532077,0.560967,53.909685
2060,11387515,,1,"Wonder (Wonder, #1)",None,1,876,0,7.394811,0.798834,0.318466,122052,0.059336,0.059336,0.00075,2,0.712621,0.798365,5146.61004
2064,18622809,,1,"Breakthrough (Breakthrough, #1)",None,3,81,0,2.402837,0.046153,0.394753,1279,0.00327,0.00327,0.000378,3,0.514006,0.527475,155.037301
2070,38359036,,1,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",None,0,780,0,13.223906,0.741734,0.351901,106911,0.055193,0.055193,0.001243,2,0.680891,0.765668,3377.652237
2071,25423829,,1,The Letter,None,3,162,0,6.412837,0.097637,0.394678,5147,0.006961,0.006961,0.000754,2,0.5292,0.555177,268.658517
2078,36175491,,1,The Tuscan Child,None,3,266,0,7.649369,0.19947,0.349269,12310,0.014475,0.014475,0.000867,2,0.549813,0.590599,961.040157
2081,43339,,1,Where Are the Children?,None,0,93,0,1.706935,0.114178,0.656148,2807,0.008488,0.008488,0.000257,3,0.514727,0.530654,21.653402
2087,15811495,,1,"Touch &#38; Go (Tessa Leoni, #2)",None,2,177,0,5.87918,0.196944,0.605868,9437,0.014647,0.014647,0.000628,3,0.531307,0.559832,71.938871
2088,41880609,,1,On Earth We're Briefly Gorgeous,None,4,215,0,5.724005,0.244873,0.589524,13562,0.018237,0.018237,0.000625,3,0.538518,0.572661,125.079853
2089,14756,,1,Goodnight Nobody,None,1,235,0,6.237162,0.252225,0.520386,14308,0.018734,0.018734,0.000692,3,0.543301,0.579927,232.102452
2093,178788,,1,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-term Health",None,4,149,0,3.568701,0.178034,0.615182,6783,0.013271,0.013271,0.000429,3,0.525788,0.550182,51.655333
2099,33282719,,1,Little Boy Lost,None,3,169,0,5.197688,0.106457,0.3551,5041,0.007631,0.007631,0.000646,2,0.530538,0.557561,362.701914
2102,25152052,,1,The Japanese Lover,None,4,416,0,12.652697,0.451652,0.485554,41913,0.033678,0.033678,0.001206,3,0.582078,0.641462,509.362408
2105,42975414,,1,"The Testaments (The Handmaid's Tale, #2)",None,3,180,0,4.815408,0.206503,0.580447,9351,0.015326,0.015326,0.000541,3,0.532463,0.561194,92.642592
2108,9976857,,1,Les Mis&#233;rables,None,3,51,0,1.206904,0.043777,0.464314,592,0.003205,0.003205,0.000239,3,0.507081,0.516235,23.072053
2109,104734,,1,The Vagina Monologues,None,4,126,0,3.112233,0.137363,0.546032,4300,0.010216,0.010216,0.000395,3,0.520383,0.541667,53.136992
2110,32920226,,1,"Sing, Unburied, Sing",None,4,584,0,14.452854,0.602785,0.428981,73028,0.044939,0.044939,0.001362,2,0.62415,0.69891,1222.647502
2119,34114362,,1,What Happened,None,4,234,0,4.672235,0.264989,0.530832,14471,0.019691,0.019691,0.000535,3,0.542899,0.579473,201.353485
2122,18619999,,1,The Help,None,3,148,0,3.300498,0.122612,0.366244,3984,0.008966,0.008966,0.00048,2,0.526542,0.550409,324.498453
2130,36318317,,1,"Close to Home (DI Adam Fawley, #1)",None,3,58,0,1.879018,0.050592,0.46703,772,0.003696,0.003696,0.000343,3,0.509545,0.519414,53.646898
2133,17661831,,1,The Orenda,None,1,105,0,2.615187,0.13967,0.775458,4234,0.010406,0.010406,0.000351,3,0.516901,0.534741,12.507333
